numbers
68389.00
68389.00
66901.00
67001.00
67051.00
67111.00
67104.00
67103.00
67199.00
67110.00
67103.00
66999.00
66899.00
66899.00
66899.00
66999.00
67000.00
67099.00
67099.00
67499.00
67499.00
67599.00
67699.00
67600.00
67528.00
67600.00
67600.00
67600.00
67600.00
67600.00
67699.00
67989.00
67800.00
67800.00
68110.00
68331.00
68400.00
68400.00
68311.00
68230.00
68012.00
67800.00
67807.00
68595.00
68758.00
68711.00
68600.00
68758.00
68758.00
68900.00
68900.00
68950.00
68950.00
68999.00
69000.00
69066.00
69075.00
69075.00
69045.00
69666.00
69666.00
69679.00
69724.00
69896.00
69896.00
69899.00
69899.00
69650.00
69650.00
69200.00
69200.00
69499.00
69299.00
69089.00
69051.00
69051.00
69001.00
69000.00
68954.00
68825.00
68502.00
68345.00
68200.00
68200.00
68200.00
68140.00
68103.00
68100.00
68000.00
67975.00
67975.00
67975.00
67901.00
68266.00
68271.00
68271.00
68399.00
68569.00
68569.00
68515.00
68425.00
68450.00
68425.00
68400.00
68375.00
68350.00
68300.00
68371.00
68680.00
68680.00
68365.00
68301.00
68130.00
68130.00
68244.00
68260.00
68155.00
68279.00
68413.00
68493.00
68499.00
68499.00
68314.00
68314.00
68415.00
68415.00
68301.00
68301.00
68431.00
68431.00
68499.00
68342.00
68489.00
68328.00
68492.00
68499.00
68499.00
68590.00
68933.00
68951.00
68951.00
68900.00
68900.00
69000.00
69000.00
68800.00
68739.00
68800.00
68896.00
68997.00
68999.00
69007.00
69009.00
68714.00
68841.00
68841.00
68851.00
68850.00
68804.00
68849.00
68850.00
69088.00
69088.00
69088.00
69000.00
69088.00
69013.00
69013.00
69006.00
69000.00
68999.00
68999.00
69055.00
69050.00
69049.00
69137.00
69149.00
69149.00
69149.00
69034.00
69050.00
69075.00
69075.00
69100.00
69200.00
69150.00
69249.00
69290.00
69349.00
69358.00
69400.00
69447.00
69446.00
69450.00
69486.00
69500.00
69500.00
69480.00
69550.00
69550.00
69535.00
69590.00
69599.00
69649.00
69710.00
69710.00
69650.00
69599.00
69341.00
69442.00
69500.00
69580.00
69700.00
69668.00
69699.00
69600.00
69700.00
69609.00
69655.00
69550.00
69500.00
69501.00
69599.00
69557.00
69561.00
69560.00
69560.00
69550.00
69561.00
69561.00
69599.00
69659.00
70000.00
70068.00
70068.00
69950.00
69950.00
70000.00
70001.00
70002.00
70089.00
70089.00
70122.00
70122.00
70000.00
70003.00
70098.00
70049.00
70133.00
70133.00
70121.00
70120.00
70050.00
70080.00
70150.00
70150.00
70148.00
70108.00
70030.00
70001.00
70000.00
69999.00
70074.00
70000.00
69950.00
69944.00
69900.00
69850.00
69850.00
69850.00
69800.00
69800.00
69750.00
69700.00
69700.00
69700.00
69700.00
69729.00
69700.00
69733.00
69740.00
69751.00
69693.00
69648.00
69648.00
69800.00
69898.00
69889.00
69900.00
69999.00
69880.00
69850.00
69850.00
69949.00
69949.00
69997.00
69999.00
70000.00
70050.00
70150.00
70200.00
70200.00
70200.00
70273.00
70273.00
69904.00
69999.00
69969.00
70086.00
70048.00
70086.00
70010.00
70010.00
70010.00
70010.00
70010.00
70010.00
70150.00
70190.00
70238.00
70367.00
70200.00
70200.00
70200.00
70080.00
70070.00
70070.00
70050.00
70040.00
70000.00
69974.00
69949.00
69970.00
70164.00
70150.00
70150.00
70301.00
70350.00
70400.00
70400.00
70400.00
70450.00
70450.00
70500.00
70501.00
70500.00
70500.00
70500.00
70430.00
70535.00
70535.00
70600.00
70769.00
70769.00
70601.00
70701.00
70552.00
70750.00
70750.00
70700.00
70700.00
70700.00
70700.00
70700.00
70700.00
70700.00
70600.00
70600.00
70595.00
70550.00
70550.00
70550.00
70532.00
70550.00
70739.00
70672.00
70660.00
70513.00
70990.00
71989.00
70998.00
70100.00
70351.00
70799.00
